matchup,team1,team2,team1_score,team2_score,winner
0,1,2,93,72,1
1,3,4,53,64,4
2,5,6,63,70,6
3,7,8,75,71,7
4,9,10,64,78,10
5,11,12,97,62,11
6,13,14,74,73,13
7,15,16,78,61,15
8,17,18,85,49,17
9,19,20,95,63,19
10,21,22,82,53,21
11,23,24,57,53,23
12,25,26,81,73,25
13,27,28,78,56,27
14,29,30,92,87,29
15,31,32,79,85,32
16,33,34,87,70,33
17,35,36,42,69,36
18,37,38,82,68,37
19,39,40,54,53,39
20,41,42,63,75,42
21,43,44,88,56,43
22,45,46,54,41,45
23,47,48,80,60,47
24,49,50,83,56,49
25,51,52,69,72,52
26,53,54,63,67,54
27,55,56,66,57,55
28,57,58,54,59,58
29,59,60,67,60,59
30,61,62,66,68,62
31,63,64,80,61,63
